Municipality,province,inhabitants,Year,Total Revenues,Taxes and Duties,Extra-Tax Revenues,External Public Funding,Loans,Custodial Revenues,Capital Transfers,Revenues from Reduction of Financial Activities,Capital Revenues
LUOGOSANO,AV,1097.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
SOVERIA MANNELLI,CZ,2903.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
GUARDIAGRELE,CH,8548.0,2021,64172327.0,7880922.0,1969144.0,10000000.0,51474.0,22026541.0,5107360.0,0.0,17136885.0
VILLA SAN GIOVANNI,RC,12920.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
FIUMEFREDDO DI SICILIA,CT,9128.0,2021,37821314.0,7839549.0,1866222.0,5000000.0,4734204.0,15679463.0,1335634.0,0.0,1366243.0
PALAGONIA,CT,15802.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
ITALA,ME,1495.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
NARO,AG,7051.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
FRASCATI,RM,22705.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
CANICATTI',AG,34588.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
CALATABIANO,CT,5167.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
CROSIA,CS,9630.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
CALTAGIRONE,CT,36058.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
AMENDOLARA,CS,2760.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
BOLOGNANO,PE,1024.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
TORTORICI,ME,5792.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
CARINOLA,CE,7216.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
JOPPOLO,VV,1671.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
PEDARA,CT,14915.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
FRIGNANO,CE,9010.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
CERETTO LOMELLINA,PV,178.0,2022,1304534.0,257714.0,169483.0,127982.0,0.0,216741.0,168455.0,0.0,364160.0
CASACANDITELLA,CH,1170.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
GUALTIERI SICAMINO',ME,1591.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
MALVAGNA,ME,639.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
SAN DANIELE PO,CR,1291.0,2022,5433449.0,1016599.0,604011.0,1200000.0,4314.0,354990.0,200613.0,0.0,2052923.0
NOTO,SR,23905.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
SANTO STEFANO ROERO,CN,1325.0,2022,5959404.0,927554.0,305584.0,393920.0,31471.0,771190.0,89029.0,0.0,3440657.0
PIZZONE,IS,315.0,2022,12733406.0,1253693.0,732211.0,500000.0,0.0,2174307.0,123535.0,0.0,7949660.0
PIETRADEFUSI,AV,1965.0,2022,21115872.0,3230294.0,519078.0,600000.0,0.0,6913495.0,415286.0,0.0,9437720.0
GRANITI,ME,1449.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
PAOLISI,BN,2007.0,2022,,0.0,0.0,0.0,0.0,,0.0,,
GROTTERIA,RC,2881.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
SANTA VENERINA,CT,8421.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
SANT'ANGELO A FASANELLA,SA,514.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
NISCEMI,CL,25179.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
ISOLA DELLE FEMMINE,PA,7084.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
PETROSINO,TP,7962.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
GIOIA SANNITICA,CE,3357.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
USTICA,PA,1307.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
MONTELANICO,RM,2066.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
OLIVERI,ME,2048.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
MAZZARINO,CL,,2023,,0.0,0.0,0.0,0.0,,0.0,,
CHIETI,CH,48666.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
PIETRAPAOLA,CS,1021.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
TORRICE,FR,4733.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
PIETRADEFUSI,AV,1965.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
CACCAMO,PA,7747.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
ORTA DI ATELLA,CE,27118.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
CHIARAMONTE GULFI,RG,8024.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
ACI CATENA,CT,28124.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
MOIO ALCANTARA,ME,685.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
MILO,CT,1038.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
GELA,CL,71937.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
BASSIANO,LT,1461.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
BARCELLONA POZZO DI GOTTO,ME,40029.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
GENAZZANO,RM,5611.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
SANT'ALFIO,CT,1518.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
CAMASTRA,AG,1947.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
CAPIZZI,ME,2888.0,2023,,0.0,0.0,0.0,0.0,,0.0,,
